Population,LOR
5190,10300733
10606,10300734
7832,10400835
3981,10400836
7870,10400837
10234,10400938
4529,10400939
5847,10400940
9743,10400941
3356,11100101
3095,11100102
9394,11100203
7463,11100204
6304,11100205
7807,11100206
11702,11100307
9886,11100308
6569,11100309
10413,11200410
6917,11200411
3999,11200512
10466,11200513
16289,11200514
5002,11200515
5992,11300616
4407,11300617
3850,11300618
8889,11300619
11346,11300620
6848,11300721
10326,11300722
2581,11300723
4372,11300724
10202,11300725
10508,11300826
4173,11400927
2933,11400928
16901,11400929
4760,11400930
7064,11400931
6292,11401032
6890,11401033
3379,11401034
11011,11401135
8336,11401136
9004,11401137
4899,11501238
10574,11501339
11246,11501340
10103,11501341
11188,12100101
9980,12100102
7592,12100103
9554,12100204
13988,12100205
4780,12100206
2804,12200307
5868,12200308
11286,12200309
8284,12200310
294,12200411
6518,12200412
8103,12200413
5440,12200414
11322,12200515
6113,12400616
6704,12400617
3789,12400618
7726,12400619
8480,12400720
7891,12400721
8517,12400722
8090,12400723
9681,12500824
7079,12500825
5181,12500926
6874,12500927
5158,12500928
5104,12500929
9873,12500930
3333,12601031
6250,12601032
11448,12601133
16006,12601134
10610,12601235
3190,12601236
